iter	Passed	Remaining
0	0	755
1	1	732
2	2	733
3	2	706
4	3	678
5	4	669
6	4	658
7	5	662
8	5	655
9	6	647
10	7	656
11	7	653
12	8	650
13	9	649
14	9	647
15	10	641
16	11	641
17	11	637
18	12	633
19	12	633
20	13	630
21	14	626
22	14	622
23	15	619
24	15	615
25	16	613
26	16	611
27	17	608
28	18	606
29	18	610
30	19	615
31	20	616
32	21	618
33	21	616
34	22	616
35	23	616
36	23	616
37	24	617
38	25	618
39	25	616
40	26	614
41	26	614
42	27	614
43	28	613
44	28	614
45	29	613
46	30	612
47	30	612
48	31	611
49	32	610
50	32	608
51	33	607
52	33	607
53	34	606
54	35	606
55	36	607
56	36	607
57	37	606
58	38	606
59	38	604
60	39	603
61	39	601
62	40	601
63	41	602
64	41	601
65	42	600
66	43	598
67	43	598
68	44	596
69	44	596
70	45	595
71	46	594
72	46	593
73	47	592
74	47	591
75	48	591
76	49	589
77	49	589
78	50	589
79	51	588
80	51	587
81	52	586
82	52	581
83	53	580
84	53	578
85	54	576
86	54	575
87	55	574
88	56	573
89	56	573
90	57	572
91	57	571
92	58	570
93	59	570
94	59	569
95	60	567
96	60	566
97	61	564
98	61	563
99	62	561
100	63	561
101	63	560
102	64	559
103	64	558
104	65	558
105	66	557
106	66	555
107	67	555
108	67	554
109	68	553
110	68	551
111	69	550
112	70	549
113	70	548
114	71	547
115	71	546
116	72	544
117	72	543
118	73	542
119	73	541
120	74	540
121	74	539
122	75	537
123	76	538
124	76	537
125	77	537
126	78	536
127	78	535
128	79	535
129	79	534
130	80	534
131	81	534
132	81	533
133	82	533
134	83	532
135	83	531
136	84	529
137	84	528
138	85	527
139	85	526
140	86	525
141	86	523
142	87	522
143	87	520
144	88	519
145	88	518
146	89	517
147	89	516
148	90	515
149	90	514
150	91	513
151	91	511
152	92	510
153	92	509
154	93	508
155	93	507
156	94	506
157	94	504
158	95	504
159	96	504
160	96	502
161	97	502
162	97	501
163	98	501
164	98	499
165	99	498
166	99	497
167	100	496
168	100	495
169	101	495
170	102	494
171	102	493
172	103	492
173	103	491
174	104	490
175	104	489
176	105	488
177	105	488
178	106	487
179	106	486
180	107	485
181	107	484
182	108	483
183	108	482
184	109	482
185	109	481
186	110	480
187	111	480
188	111	479
189	112	478
190	112	477
191	113	476
192	113	475
193	114	474
194	114	474
195	115	473
196	115	472
197	116	471
198	116	470
199	117	469
200	117	468
201	118	467
202	118	466
203	119	466
204	120	465
205	120	464
206	121	463
207	121	463
208	122	462
209	122	461
210	123	460
211	123	459
212	124	458
213	124	457
214	125	458
215	126	458
216	126	457
217	127	457
218	127	456
219	128	455
220	128	454
221	129	453
222	129	452
223	130	451
224	130	450
225	131	449
226	131	448
227	132	447
228	132	446
229	133	445
230	133	444
231	134	443
232	134	443
233	135	442
234	135	441
235	136	440
236	136	439
237	136	438
238	137	437
239	137	436
240	138	435
241	138	434
242	139	434
243	140	433
244	140	433
245	141	432
246	142	432
247	142	432
248	143	431
249	143	431
250	144	430
251	144	430
252	145	429
253	146	428
254	146	428
255	147	427
256	147	426
257	148	425
258	148	425
259	149	424
260	149	423
261	150	423
262	150	422
263	151	421
264	151	420
265	152	420
266	152	419
267	153	418
268	153	417
269	154	417
270	154	416
271	155	416
272	156	415
273	157	416
274	158	416
275	159	417
276	159	416
277	160	416
278	160	415
279	161	415
280	162	414
281	162	413
282	163	413
283	163	412
284	164	411
285	164	410
286	165	410
287	165	409
288	166	408
289	166	408
290	167	407
291	167	406
292	168	406
293	168	405
294	169	404
295	169	404
296	170	403
297	170	402
298	171	402
299	172	401
300	172	401
301	173	400
302	174	400
303	174	399
304	175	399
305	175	398
306	176	398
307	176	397
308	177	396
309	177	396
310	178	395
311	179	395
312	179	394
313	180	394
314	180	393
315	181	392
316	181	391
317	182	391
318	183	390
319	183	390
320	184	389
321	184	388
322	185	387
323	185	387
324	186	386
325	186	386
326	187	385
327	188	385
328	188	384
329	189	384
330	189	383
331	190	383
332	190	382
333	191	381
334	192	381
335	192	380
336	193	380
337	193	379
338	194	379
339	194	378
340	195	377
341	195	376
342	196	376
343	196	375
344	197	374
345	197	373
346	198	373
347	198	372
348	199	371
349	199	371
350	200	370
351	201	370
352	201	369
353	202	369
354	202	368
355	203	368
356	203	367
357	204	366
358	204	365
359	205	365
360	205	364
361	206	363
362	206	363
363	207	362
364	207	361
365	208	361
366	209	360
367	209	359
368	209	359
369	210	358
370	210	357
371	211	356
372	211	356
373	212	355
374	212	354
375	213	354
376	213	353
377	214	352
378	214	352
379	215	351
380	215	350
381	216	350
382	216	349
383	217	349
384	218	348
385	218	348
386	219	347
387	219	346
388	220	346
389	220	345
390	221	344
391	221	344
392	222	343
393	222	342
394	223	342
395	223	341
396	224	340
397	224	339
398	225	339
399	225	338
400	226	337
401	226	337
402	227	336
403	227	335
404	228	335
405	228	334
406	229	333
407	229	333
408	230	332
409	230	331
410	230	330
411	231	330
412	232	329
413	232	329
414	233	328
415	233	328
416	234	327
417	234	326
418	235	326
419	235	325
420	236	324
421	236	324
422	237	323
423	237	322
424	238	322
425	238	321
426	239	320
427	239	320
428	240	319
429	240	318
430	240	318
431	241	317
432	241	316
433	242	316
434	242	315
435	243	314
436	243	314
437	244	313
438	244	312
439	245	312
440	245	311
441	246	311
442	246	310
443	247	309
444	248	309
445	248	308
446	249	308
447	249	307
448	250	306
449	250	306
450	250	305
451	251	304
452	252	304
453	252	303
454	253	303
455	253	302
456	254	301
457	254	301
458	255	300
459	255	300
460	256	299
461	256	298
462	256	298
463	257	297
464	257	296
465	258	296
466	258	295
467	259	295
468	260	294
469	260	293
470	261	293
471	261	292
472	262	291
473	262	291
474	263	290
475	263	290
476	264	289
477	264	289
478	265	288
479	265	288
480	266	287
481	266	286
482	267	286
483	268	285
484	268	285
485	269	284
486	269	283
487	269	283
488	270	282
489	270	282
490	271	281
491	271	280
492	272	280
493	272	279
494	273	278
495	273	278
496	274	277
497	274	277
498	275	276
499	276	276
500	276	275
501	276	274
502	277	274
503	278	273
504	278	273
505	279	272
506	280	272
507	280	271
508	281	271
509	281	270
510	282	269
511	282	269
512	283	268
513	283	268
514	284	267
515	284	266
516	284	266
517	285	265
518	285	265
519	286	264
520	287	263
521	287	263
522	288	262
523	288	262
524	289	261
525	289	260
526	290	260
527	290	259
528	291	259
529	291	258
530	292	257
531	292	257
532	293	256
533	293	256
534	294	255
535	295	255
536	295	254
537	296	254
538	296	253
539	297	253
540	297	252
541	298	251
542	298	251
543	299	250
544	299	250
545	299	249
546	300	248
547	301	248
548	301	247
549	302	247
550	302	246
551	303	245
552	303	245
553	304	244
554	304	244
555	305	243
556	305	243
557	306	242
558	306	241
559	306	241
560	307	240
561	308	240
562	308	239
563	309	239
564	310	238
565	310	238
566	311	237
567	311	237
568	312	236
569	313	236
570	313	235
571	313	234
572	314	234
573	315	233
574	315	233
575	316	232
576	316	232
577	317	231
578	317	230
579	318	230
580	318	229
581	319	229
582	319	228
583	320	227
584	320	227
585	320	226
586	321	226
587	321	225
588	322	225
589	323	224
590	323	223
591	324	223
592	324	222
593	325	222
594	325	221
595	326	221
596	326	220
597	327	220
598	327	219
599	328	218
600	328	218
601	329	217
602	329	217
603	330	216
604	331	216
605	331	215
606	332	214
607	332	214
608	333	213
609	333	213
610	333	212
611	334	212
612	334	211
613	335	210
614	335	210
615	336	209
616	336	209
617	337	208
618	337	208
619	338	207
620	339	207
621	339	206
622	340	205
623	340	205
624	341	204
625	341	204
626	342	203
627	342	203
628	343	202
629	343	201
630	344	201
631	344	200
632	345	200
633	346	199
634	346	199
635	347	198
636	347	198
637	348	197
638	348	197
639	349	196
640	349	195
641	350	195
642	350	194
643	351	194
644	351	193
645	352	192
646	352	192
647	353	191
648	354	191
649	354	191
650	355	190
651	356	190
652	356	189
653	357	189
654	357	188
655	358	187
656	358	187
657	359	186
658	359	186
659	360	185
